CD_MUNICIPIO,NM_MUNICIPIO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,QT_VOTOS_TOTAL,QT_ZONAS_COM_VOTO,QT_SECOES_COM_VOTO,QT_LOCAIS_COM_VOTO
41335,BETIM,13,Vereador,36063,LUÍS CARLOS DE SOUSA E SILVA,130002212596,29,2,21,17
41335,BETIM,13,Vereador,70012,LANA JOSINO DE ASSIS,130002396390,29,2,26,19
41335,BETIM,13,Vereador,27908,ZAIRA APARECIDA GONÇALVES RODRIGUES,130001921715,29,2,26,17
41335,BETIM,13,Vereador,12612,CARLOS ROBERTO MIRANDA ROSA,130002212694,27,2,24,14
41335,BETIM,13,Vereador,43003,SIMONE MARTINS DA SILVA,130001921635,27,2,25,18
41335,BETIM,13,Vereador,36274,VITORIA ELEN SANTOS DE SOUZA,130002212606,26,2,21,7
41335,BETIM,13,Vereador,12252,WALLAS DE PAULA DA SILVA,130002212693,26,2,24,12
41335,BETIM,13,Vereador,22115,PATRICIA PASSINI GONÇALVES SILVA VENTIN,130001921666,26,2,18,9
41335,BETIM,13,Vereador,33100,ELIANE SOARES RIBEIRO,130002031991,25,2,19,7
41335,BETIM,13,Vereador,43433,RAMON DE OLIVEIRA FARIA,130001921632,25,2,25,17
41335,BETIM,13,Vereador,18123,OLIVIA DE SOUZA PEREIRA DE ANDRADE,130002369391,24,2,23,14
41335,BETIM,13,Vereador,30250,HELEYKA GOMES TEIXEIRA FRAGA,130002212547,24,2,19,13
41335,BETIM,13,Vereador,23445,MARIUSA DE FATIMA TRINDADE MIRANDA,130001893862,23,2,19,13
41335,BETIM,13,Vereador,30963,JOÃO FELIPE CAMARGOS SOARES,130002212545,22,2,19,12
41335,BETIM,13,Vereador,12255,IVO SPAGNOL BASTOS PINTO,130002212677,21,1,19,11
41335,BETIM,13,Vereador,44007,JANE LUCINEIA PEREIRA DE AZEREDO CORREA,130001885048,20,2,17,13
