CD_SETOR,bairro,situacao,distrito,fonte_nome
310670505020077,Bom Retiro,Urbana,Betim,IBGE
310670505020078,Vila das Flores,Urbana,Betim,IBGE
310670505020079,Vila das Flores,Urbana,Betim,IBGE
310670505020080,Vila das Flores,Urbana,Betim,IBGE
310670505020081,Vila das Flores,Urbana,Betim,IBGE
310670505020082,Vila das Flores,Urbana,Betim,IBGE
310670505020083,Vila das Flores,Urbana,Betim,IBGE
310670505020084,Vila das Flores,Urbana,Betim,IBGE
310670505020085,Vila das Flores,Urbana,Betim,IBGE
310670505020086,Vila das Flores,Urbana,Betim,IBGE
310670505020087,Vila das Flores,Urbana,Betim,IBGE
310670505020088,Vila das Flores,Urbana,Betim,IBGE
310670505020089,Vila das Flores,Urbana,Betim,IBGE
310670505020090,Alto das Flores,Urbana,Betim,IBGE
310670505020091,Senhora das Graças,Urbana,Betim,IBGE
310670505020092,Senhora das Graças,Urbana,Betim,IBGE
310670505020094,Senhora das Graças,Urbana,Betim,IBGE
310670505020095,Residencial Lagoa,Urbana,Betim,IBGE
310670505020096,Residencial Lagoa,Urbana,Betim,IBGE
310670505020097,Residencial Taquaril,Urbana,Betim,IBGE
310670505020098,Bom Retiro,Urbana,Betim,IBGE
310670505020099,Senhora das Graças,Urbana,Betim,IBGE
310670505020101,Santa Lúcia,Urbana,Betim,IBGE
310670505020102,Novo Horizonte,Urbana,Betim,IBGE
310670505020103,Novo Horizonte,Urbana,Betim,IBGE
310670505020104,Senhora das Graças,Urbana,Betim,IBGE
310670505020105,Senhora das Graças,Urbana,Betim,IBGE
310670505020106,Bom Retiro,Urbana,Betim,IBGE
310670505020107,Bom Retiro,Urbana,Betim,IBGE
310670505020108,Bom Retiro,Urbana,Betim,IBGE
310670505020109,Bom Retiro,Urbana,Betim,IBGE
310670505020110,Vila das Flores,Urbana,Betim,IBGE
310670505020111,Vila das Flores,Urbana,Betim,IBGE
310670505020112,Vila das Flores,Urbana,Betim,IBGE
310670505020113,Ingá,Urbana,Betim,IBGE
310670505020114,Ingá,Urbana,Betim,IBGE
310670505020115,Bom Retiro,Urbana,Betim,IBGE
310670505020116,Bom Retiro,Urbana,Betim,IBGE
310670505020117,Alto das Flores,Urbana,Betim,IBGE
310670505020118,Alto das Flores,Urbana,Betim,IBGE
310670505020119,Senhora das Graças,Urbana,Betim,IBGE
310670505020120,Senhora das Graças,Urbana,Betim,IBGE
310670505020122,Teixeirinha,Urbana,Betim,IBGE
310670505020123,Vila das Flores,Urbana,Betim,IBGE
310670505020124,Vila das Flores,Urbana,Betim,IBGE
310670505020125,Vila das Flores,Urbana,Betim,IBGE
310670505020126,Vila das Flores,Urbana,Betim,IBGE
310670505020128,Fazenda Liberatos,Urbana,Betim,IBGE
310670505020129,Serra Negra,Rural,Betim,CNEFE
310670505020130,Recanto da Serra,Urbana,Betim,IBGE
310670505020131,Ponte Alta,Urbana,Betim,IBGE
310670505020132,Chácara Várzea das Flores,Urbana,Betim,IBGE
310670505020133,Zona rural — Betim,Rural,Betim,distrito
310670505020134,Fazenda Liberatos,Urbana,Betim,IBGE
310670505020136,Ingá,Urbana,Betim,IBGE
310670505020137,Ingá,Urbana,Betim,IBGE
310670505020138,Ingá,Urbana,Betim,IBGE
310670505020139,Senhora das Graças,Urbana,Betim,IBGE
310670505020140,Bom Repouso,Urbana,Betim,IBGE
310670505020141,Teixeirinha,Urbana,Betim,IBGE
310670505020142,Santa Lúcia,Urbana,Betim,IBGE
310670505020143,Fazenda Liberatos,Urbana,Betim,vizinho
310670505020144,C.H. Homéro Gil,Urbana,Betim,vizinho
310670505030001,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030002,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030004,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030005,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030006,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030008,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030009,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030010,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030011,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030012,Parque das Indústrias,Urbana,Betim,IBGE
310670505030013,Niterói,Urbana,Betim,IBGE
310670505030014,Senhora de Fátima,Urbana,Betim,IBGE
310670505030017,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030019,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030020,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030021,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030022,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030023,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030025,Betim Industrial,Urbana,Betim,IBGE
310670505030026,Betim Industrial,Urbana,Betim,IBGE
310670505030029,Parque das Indústrias,Urbana,Betim,IBGE
310670505030030,Espírito Santo,Urbana,Betim,IBGE
310670505030031,Niterói,Urbana,Betim,IBGE
310670505030032,Niterói,Urbana,Betim,IBGE
310670505030033,Niterói,Urbana,Betim,IBGE
310670505030035,Niterói,Urbana,Betim,IBGE
310670505030036,Senhora de Fátima,Urbana,Betim,IBGE
310670505030037,Cruzeiro do Sul,Urbana,Betim,IBGE
310670505030038,Cruzeiro do Sul,Urbana,Betim,IBGE
310670505030040,Duque de Caxias,Urbana,Betim,IBGE
310670505030041,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030042,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030044,Dom Bosco,Urbana,Betim,IBGE
310670505030045,Dom Bosco,Urbana,Betim,IBGE
310670505030046,Dom Bosco,Urbana,Betim,IBGE
310670505030047,Betim Industrial,Urbana,Betim,IBGE
310670505030049,Jardim Brasília,Urbana,Betim,IBGE
310670505030050,Jardim Brasília,Urbana,Betim,IBGE
310670505030051,Jardim Brasília,Urbana,Betim,IBGE
310670505030053,Espírito Santo,Urbana,Betim,IBGE
310670505030059,Itacolomi,Urbana,Betim,IBGE
310670505030061,Espírito Santo,Urbana,Betim,IBGE
310670505030070,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030071,Niterói,Urbana,Betim,IBGE
310670505030076,Niterói,Urbana,Betim,IBGE
310670505030078,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030079,Niterói,Urbana,Betim,IBGE
310670505030081,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030083,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030084,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030086,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030087,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030088,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030089,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030090,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030091,Betim Industrial,Urbana,Betim,IBGE
310670505030092,Jardim Brasília,Urbana,Betim,IBGE
310670505030093,Niterói,Urbana,Betim,IBGE
310670505030094,Niterói,Urbana,Betim,IBGE
310670505030096,Senhora de Fátima,Urbana,Betim,IBGE
310670505030097,Vargem das Flores / C. H. Jalila C. Pedrosa,Urbana,Betim,IBGE
310670505030098,Cruzeiro do Sul,Urbana,Betim,IBGE
310670505030099,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030100,Cruzeiro do Sul,Urbana,Betim,IBGE
310670505030102,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030106,Dom Bosco,Urbana,Betim,IBGE
310670505030107,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030108,Dom Bosco,Urbana,Betim,IBGE
310670505030109,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030111,Dom Bosco,Urbana,Betim,IBGE
310670505030112,Espírito Santo,Urbana,Betim,IBGE
310670505030113,Espírito Santo,Urbana,Betim,IBGE
310670505030115,Itacolomi,Urbana,Betim,IBGE
310670505030117,Cruzeiro do Sul,Urbana,Betim,IBGE
310670505030118,Vargem das Flores / C. H. Jalila C. Pedrosa,Urbana,Betim,IBGE
310670505030119,Vargem das Flores / C. H. Jalila C. Pedrosa,Urbana,Betim,IBGE
310670505030121,Espírito Santo,Urbana,Betim,IBGE
310670505030137,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030139,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030140,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030141,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030142,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030144,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030145,Parque das Indústrias,Urbana,Betim,IBGE
310670505030146,Parque das Indústrias,Urbana,Betim,IBGE
310670505030147,Niterói,Urbana,Betim,IBGE
310670505030148,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030149,Cruzeiro do Sul,Urbana,Betim,IBGE
310670505030151,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030152,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030153,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030154,Betim Industrial,Urbana,Betim,IBGE
310670505030157,Espírito Santo,Urbana,Betim,IBGE
310670505030158,Niterói,Urbana,Betim,IBGE
310670505030159,Niterói,Urbana,Betim,IBGE
310670505030162,Niterói,Urbana,Betim,IBGE
310670505030163,Niterói,Urbana,Betim,IBGE
310670505030164,Niterói,Urbana,Betim,IBGE
310670505030165,Niterói,Urbana,Betim,IBGE
310670505030166,Senhora de Fátima,Urbana,Betim,IBGE
310670505030167,Cruzeiro do Sul,Urbana,Betim,IBGE
310670505030168,Duque de Caxias,Urbana,Betim,IBGE
310670505030169,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030170,Jardim Alterosas 1 Seção,Urbana,Betim,IBGE
310670505030171,Dom Bosco,Urbana,Betim,IBGE
310670505030172,Jardim Brasília,Urbana,Betim,IBGE
310670505030173,Espírito Santo,Urbana,Betim,IBGE
310670505030174,Itacolomi,Urbana,Betim,IBGE
310670505030175,Cruzeiro do Sul,Urbana,Betim,IBGE
310670505030176,Jardim Alterosas 2 Seção,Urbana,Betim,IBGE
310670505030177,Duque de Caxias,Urbana,Betim,IBGE
