NM_MUNICIPIO,NR_ZONA,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,DS_ENDERECO,NM_BAIRRO,DS_TIPO_LOCAL,NR_LATITUDE,NR_LONGITUDE,QT_ELEITORES,QT_SECOES
BELO HORIZONTE,28,1937,E. M.  WLADIMIR DE PAULA GOMES,"RUA UARIRA,  350",CAETANO FURQUIM,Convencional,-19.8997834,-43.8904693,6286,15
BELO HORIZONTE,28,1945,"E, E.  WALT DISNEY","RUA RAUL DE BRITO   ,13",CASA BRANCA,Convencional,-19.895244,-43.8885426,4501,10
BELO HORIZONTE,28,1953,E. M. MONS. JOAO RODRIGUES DE OLIVEIRA,"RUA ARAPARI, 95",SÃO GERALDO,Convencional,-19.8982309,-43.8971819,6121,14
BELO HORIZONTE,28,1961,E. M. DOUTOR JULIO SOARES,"RUA SÃO VICENTE, 200",GRANJA DE FREITAS,Convencional,-19.9075913,-43.8832242,2837,7
BELO HORIZONTE,28,1970,ESCOLA ESTADUAL JÚLIA LOPES DE ALMEIDA - DEFICIENTES,"RUA PADRE JULIO MARIA, 177",SAUDADE,Convencional,-19.9169484,-43.9004534,176,1
BELO HORIZONTE,29,1015,COLEGIO PADRE EUSTAQUIO,"RUA CESARIO ALVIM, 810",PADRE EUSTÁQUIO,Convencional,-19.9153799,-43.9743557,8499,18
BELO HORIZONTE,29,1023,ESCOLA ESTADUAL CRISTIANO MACHADO,"RUA FRANCISCO BICALHO  , 71 ",PADRE EUSTÁQUIO,Convencional,-19.9228156,-43.977527,3233,10
BELO HORIZONTE,29,1031,ESCOLA ESTADUAL PEDRO DUTRA,"RUA HUMAITÁ, 1094",PADRE EUSTÁQUIO,Convencional,-19.9206742,-43.9826496,1993,5
BELO HORIZONTE,29,1040,ESCOLA DE MUSICA DA UEMG,"RUA RIACHUELO  ,1351",PADRE EUSTÁQUIO,Convencional,-19.9153035,-43.974611,3360,8
BELO HORIZONTE,29,1066,ESCOLA ESTADUAL DES. MARIO GONCALVES DE MATOS,"PRAÇA CAPELA NOVA, 20",MINAS BRASIL,Convencional,-19.9160303,-43.9920708,3275,7
BELO HORIZONTE,29,1074,ESCOLA ESTADUAL ASSIS DAS CHAGAS,"PRACA DA COMUNIDADE   ,165",DOM CABRAL,Convencional,-19.9226147,-43.998679,3060,7
BELO HORIZONTE,29,1082,CRECHE BOM PASTOR,"PRACA DA COMUNIDADE, 94",DOM CABRAL,Convencional,-19.9228792,-43.998341,1646,4
BELO HORIZONTE,29,1112,PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS,"AV. DOM JOSÉ GASPAR, 500",CORACAO EUCARISTICO,Convencional,-19.9227443,-43.991477,8506,19
BELO HORIZONTE,29,1201,ESCOLA ESTADUAL PROFESSOR CLOVIS SALGADO,"AV. DAS CASTANHOLAS  ,80",CONJUNTO CALIFORNIA,Convencional,-19.9234674,-44.009833,7817,16
BELO HORIZONTE,29,1252,ESCOLA MUNICIPAL MARIA DE REZENDE COSTA,"AV. ABILIO MACHADO   ,1009",IPANEMA,Convencional,-19.9064509,-43.9998627,3439,7
BELO HORIZONTE,29,1279,ESCOLA ESTADUAL GUIMARAES ROSA,"RUA AVELAR   ,10",PINDORAMA,Convencional,-19.9116757,-44.0221132,5424,11
BELO HORIZONTE,29,1287,ESCOLA ESTADUAL LUCAS MONTEIRO MACHADO,"RUA GUARARAPES, 1800",PINDORAMA,Convencional,-19.909765,-44.0204731,4858,11
BELO HORIZONTE,29,1295,ESCOLA ESTADUAL LAICE AGUIAR,"RUA MARIA DA SILVEIRA   ,44",GLÓRIA,Convencional,-19.9079756,-44.0055884,5303,11
BELO HORIZONTE,29,1309,ESCOLA ESTADUAL PADRE MATIAS,"RUA CELIA COSTA, 31",GLÓRIA,Convencional,-19.9028432,-44.0067834,6166,13
BELO HORIZONTE,29,1317,ESCOLA ESTADUAL MARIETA BROCHADO,"AV. ABILIO MACHADO   ,2085",IPANEMA,Convencional,-19.897421,-44.007569,1904,6
BELO HORIZONTE,29,1325,ESCOLA ESTADUAL SAO SALVADOR,"AV. AMINTAS JACQUES DE MORAES  , 85",GLÓRIA,Convencional,-19.8954017,-44.011546,3761,8
BELO HORIZONTE,29,1333,ESCOLA MUNICIPAL AUGUSTA MEDEIROS,"RUA GENERAL CLARK   ,28",SÃO SALVADOR,Convencional,-19.8911984,-44.0149179,2444,5
BELO HORIZONTE,29,1341,ESCOLA MUNICIPAL PADRE EDEIMAR MASSOTE,"RUA ENEIDA, 1485",COQUEIROS,Convencional,-19.8984025,-44.02162,4936,11
BELO HORIZONTE,29,1350,ESCOLA MUNICIPAL DOM JAIME BARROS CAMARA,"RUA FREDERICO BRACHER JUNIOR   ,123",CARLOS PRATES,Convencional,-19.9153308,-43.967981,2604,8
BELO HORIZONTE,29,1384,ESCOLA ESTADUAL PROFESSORA MARIA AUXILIADORA LANNA,"RUA RUTILO  ,31",PINDORAMA,Convencional,-19.909441,-44.0220539,3496,9
BELO HORIZONTE,29,1392,ESCOLA ESTADUAL OLIVIA PINTO DE CASTRO LEITE,"RUA GUACIRA, 92",PINDORAMA,Convencional,-19.9079075,-44.0193014,2810,6
BELO HORIZONTE,29,1406,CENTRO EDUCACIONAL MINEIRO,"AV. ABILIO MACHADO  , 4020",SÃO SALVADOR,Convencional,-19.8924882,-44.0095923,3143,9
BELO HORIZONTE,29,1422,ESCOLA MUNICIPAL LUIGI  TONIOLO,"RUA MAFRA, 124",GLÓRIA,Convencional,-19.902202,-44.017308,3904,8
BELO HORIZONTE,29,1430,ESCOLA MUNICIPAL DOM BOSCO,"RUA BICUÍBA, 100",DOM BOSCO,Convencional,-19.916888,-43.9999561,7633,17
BELO HORIZONTE,30,1031,ESCOLA MUNICIPAL DE BELO HORIZONTE,"AV. JOSÉ BONIFÁCIO, 189",SÃO CRISTÓVÃO,Convencional,,,1940,5
BELO HORIZONTE,30,1074,SENAI- SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL  MG,"AVENIDA PRESIDENTE ANTÔNIO CARLOS, 561",LAGOINHA,Convencional,-19.9067545,-43.9442563,2559,8
