CD_SETOR,bairro,situacao,distrito,fonte_nome
310620005620253,Belvedere,Urbana,Belo Horizonte,IBGE
310620005620254,Sion,Urbana,Belo Horizonte,IBGE
310620005620256,Sion,Urbana,Belo Horizonte,IBGE
310620005620257,Sion,Urbana,Belo Horizonte,IBGE
310620005620258,Sion,Urbana,Belo Horizonte,IBGE
310620005620261,Sion,Urbana,Belo Horizonte,IBGE
310620005620262,Sion,Urbana,Belo Horizonte,IBGE
310620005620264,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620265,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620266,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620267,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620268,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620271,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620272,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620273,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620274,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620275,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620276,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620277,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620280,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620281,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620282,Barro Preto,Urbana,Belo Horizonte,IBGE
310620005620283,Barro Preto,Urbana,Belo Horizonte,IBGE
310620005620284,Barro Preto,Urbana,Belo Horizonte,IBGE
310620005620285,Barro Preto,Urbana,Belo Horizonte,IBGE
310620005620286,Barro Preto,Urbana,Belo Horizonte,IBGE
310620005620288,Santa Rita de Cássia,Urbana,Belo Horizonte,IBGE
310620005620289,Santa Rita de Cássia,Urbana,Belo Horizonte,IBGE
310620005620290,Vila Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620291,Vila Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620292,Vila Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620293,Vila Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620294,Vila Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620295,Vila Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620296,Santa Rita de Cássia,Urbana,Belo Horizonte,IBGE
310620005620298,Santa Rita de Cássia,Urbana,Belo Horizonte,IBGE
310620005620299,Santa Rita de Cássia,Urbana,Belo Horizonte,IBGE
310620005620301,Vila Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620302,Vila Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620303,Vila Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620305,Vila Santa Lúcia,Urbana,Belo Horizonte,IBGE
310620005620306,Estrela,Urbana,Belo Horizonte,IBGE
310620005620307,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620308,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620309,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620310,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620311,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620312,Santo Antônio,Urbana,Belo Horizonte,IBGE
