NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
299;1350;ESCOLA MUNICIPAL ORLANDA NEVES STRACK;RUA DA PRODUÇÃO, 1675;3170;3
299;1368;COLÉGIO NACIONAL;AVENIDA ARAGUARI,100;1627;1
299;1376;ESCOLA MUNICIPAL PROFESSORA BENEDITA PIMENTEL DE ULHÔA ROCHA;RUA GUIOMAR DE FARIA, 40;217;0
299;1384;ESCOLA MUNICIPAL PROFESSOR THALES DE ASSIS MARTINS;RUA BAHIA, 2359;397;1
299;1392;OBRAS SOCIAIS G.E.PAULO DE TARSO - LAR FABIANO DE CRISTO;RUA WILSON PANTALEÃO DE OLIVEIRA, 108;674;0
299;1406;SENAI SANTA ROSA - UNIDADE DR. CELSO CHARURI;RUA ELIS REGINA, 370;595;0
299;1422;CENTRO PEDAGÓGICO METTA;RUA VINÍCIUS DE MORAIS,40;2109;4
314;1015;ESCOLA ESTADUAL PROF. JOSÉ IGNÁCIO DE SOUSA;RUA OSÓRIO JOSÉ DA CUNHA, 631;3803;5
314;1031;EMEI - E. M. EDUCAÇÃO INFANTIL - MARIA PACHECO REZENDE;AV. UBIRATAN HONORIO DE CASTRO, 680;1456;7
314;1040;ESCOLA MUNICIPAL HILDA LEÃO CARNEIRO;RUA GAMELA, 220;3922;5
314;1058;ESCOLA ESTADUAL SÉRGIO DE FREITAS PACHECO;RUA EDMAR HONÓRIO CORDEIRO, 202;3477;4
314;1074;ESCOLA ESTADUAL CEL. JOSÉ TEÓFILO CARNEIRO;AV. FLORIANO PEIXOTO, 1352;1821;3
314;1082;ESCOLA ESTADUAL SEGISMUNDO PEREIRA;AV. ORTIZIO BORGES, 1284;4871;12
314;1104;ESCOLA ESTADUAL ROTARY;RUA ROTARY CLUB, 777;3198;0
314;1112;ESEBA-ESCOLA DE EDUCAÇÃO BÁSICA - UFU;RUA ADUTORA SÃO PEDRO, S/N;1721;3
314;1139;ESCOLA ESTADUAL JOÃO REZENDE;RUA TEREZINHA SEGADÃES, 283;4454;11
314;1147;CENTRO ESTADUAL DE EDUCAÇÃO CONTINUADA - CESEC;RUA PRATA, 649;373;0
314;1155;ESCOLA ESTADUAL CUSTÓDIO DA COSTA PEREIRA;RUA JOSÉ AGOSTINHO, 420;1967;0
314;1163;ESCOLA ESTADUAL LOURDES DE CARVALHO;RUA GENTIL CARDOSO PAIVA, 10;2160;2
314;1171;ESCOLA MUNICIPAL SEBASTIÃO RANGEL- TAPUIRAMA;RUA JOSÉ PEDRO ABALÉM, 779;1056;1
314;1180;ESCOLA ESTADUAL PRESIDENTE JUSCELINO KUBITSCHEK;PRAÇA DURVAL GOMES XAVIER, 275;3256;2
314;1198;ESCOLA MUNICIPAL PROFª CARMELITA VIEIRA DOS SANTOS;PRAÇA DAS NAÇÕES, 03;2428;1
314;1244;ESCOLA MUNICIPAL PROF. OSVALDO VIEIRA GONÇALVES;RUA PROF. CIRO DE CASTRO ALMEIDA, 3770;2620;9
314;1260;ESCOLA ESTADUAL JARDIM IPANEMA;RUA PERGENTINO PIMENTEL COSTA, 346;3114;4
314;1279;ESCOLA MUNICIPAL JOEL CUPERTINO;RUA DA UNIDADE, 80;3715;2
314;1287;ESCOLA MUNICIPAL DOMINGOS PIMENTEL ULHÔA;AV. SALOMÃO ABRAHÃO, 1540;4281;3
314;1295;ADEVIUDI - ASSOCIAÇÃO DOS DEFICIENTES VISUAIS DE UBERLÂNDIA;AV. SEGISMUNDO PEREIRA , 1355;612;3
314;1309;CENTRO EDUCACIONAL ADVENTISTA DE UBERLÂNDIA;RUA JORGE MARTINS PINTO, 739;1992;6
314;1317;NAICA - TIBERY;AV. EUROPA, 175;638;0
314;1325;ESCOLA ESTADUAL EDERLINDO LANNES BERNARDES;AV. JOSÉ MARIA RIBEIRO, 977;1499;0
314;1333;ESCOLA MUNICIPAL EUGÊNIO PIMENTEL ARANTES;RUA DO MOINHO, 60;3999;2
314;1341;ESCOLA PROFª IRENE MONTEIRO JORGE;RUA CANOAS, 113;1116;1
314;1350;PRESÍDIO PROFESSOR JACY DE ASSIS;RUA CIRINEU COSTA AZEVEDO, 500;21;0
335;1015;FATRA ENSINO SUPERIOR;AVENIDA PAES LEMES, 485;4388;9
335;1031;ESCOLA ESTADUAL ANGELA TEIXEIRA SILVA;RUA LAMBARI, 385;1518;5
335;1040;ESCOLA ESTADUAL CLARIMUNDO CARNEIRO;AVENIDA FERNANDO VILELA, 1383;2361;2
335;1058;ESCOLA ESTADUAL IGNACIO PAES LEME;RUA CARMO GIFONE, 1067;1703;4
335;1074;ESCOLA ESTADUAL MARECHAL CASTELO BRANCO;AVENIDA ENOY GUIMARAES SOUZA, 780;3239;2
335;1082;ESCOLA ESTADUAL OSVALDO REZENDE;AVENIDA SACRAMENTO, 154;2237;4
335;1090;ESCOLA ESTADUAL TUBAL VILELA DA SILVA;AVENIDA ARAGUARI, 1128;1891;0
335;1104;ESAMC;AVENIDA VASCONCELOS COSTA  ,  270;3978;3
335;1112;FACULDADE PUC MINAS;RUA VARGINHA, 149;141;0
335;1120;ESCOLA ESTADUAL ANTÔNIO THOMAZ FERREIRA DE REZENDE;PRAÇA DA FRATERNIDADE   ,S/N;3289;2
335;1139;ESCOLA ESTADUAL JERÔNIMO ARANTES;RUA DOS TARÓIS,  60;3135;4
335;1147;ESCOLA ESTADUAL NEUZA REZENDE;AVENIDA DR. SÉRGIO DE OLIVEIRA MARQUEZ,  771;2246;6
335;1163;ESCOLA  MUNICIPAL ALFABETIZAÇÃO GUARDA ANTÔNIO R. NASCIMENTO;RUA DAS VIOLAS , 45;1482;3
335;1171;ESCOLA MUNICIPAL PROF. MARIO GODOY CASTANHO;RUA JOAQUIM ROBERTO DE SOUZA  ,  508;4341;4
335;1180;ESCOLA MUNICIPAL PROF. STELLA SARAIVA PEANO;AVENIDA CLÁSSICA , 333;4447;7
335;1198;ESCOLA MUNICIPAL AFRANIO RODRIGUES DA CUNHA;RUA MUNDIAL   , 640;4568;9
335;1210;ESCOLA MUNICIPAL BOA VISTA;RUA JOAQUIM FERREIRA RODRIGUES, 460;437;4
